Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,70.239998,72.889999,68.089996,68.930000,67.610054,629584800
2017-07-01,69.330002,74.419998,68.019997,72.699997,71.307861,469851200
2017-08-01,73.099998,74.959999,71.279999,74.769997,73.338219,444041200
2017-09-01,74.709999,75.970001,72.919998,74.489998,73.452858,375983900
2017-10-01,74.709999,86.199997,73.709999,83.180000,82.021866,449950000
2017-11-01,83.680000,85.059998,82.239998,84.169998,82.998085,421926000
2017-12-01,83.599998,87.500000,80.699997,85.540001,84.772621,466203300
2018-01-01,86.129997,95.449997,85.500000,95.010002,94.157661,574239800
2018-02-01,94.790001,96.070000,83.830002,93.769997,92.928787,725663300
2018-03-01,93.989998,97.239998,87.080002,91.269997,90.876106,750754800
2018-04-01,90.470001,97.900002,87.510002,93.519997,93.116394,668130700
2018-05-01,93.209999,99.989998,92.449997,98.839996,98.413437,503840000
2018-06-01,99.279999,102.690002,99.169998,101.629997,101.629997,150254400
2018-06-08,101.092400,101.940002,100.540001,101.629997,101.629997,22038195
