Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,133.130005,141.300003,128.479996,133.809998,133.809998,52129100
2017-07-01,134.850006,143.899994,130.399994,131.779999,131.779999,21446200
2017-08-01,132.580002,134.880005,126.559998,132.690002,132.690002,23429200
2017-09-01,144.809998,148.750000,136.699997,144.100006,144.100006,37158900
2017-10-01,144.600006,153.350006,143.389999,147.199997,147.199997,25432900
2017-11-01,147.580002,156.850006,135.850006,145.750000,145.750000,44885800
2017-12-01,145.589996,149.419998,140.119995,144.940002,144.940002,19193600
2018-01-01,146.000000,160.830002,145.100006,157.869995,157.869995,24645800
2018-02-01,156.600006,179.149994,148.410004,173.369995,173.369995,35358500
2018-03-01,173.350006,191.529999,169.039993,181.520004,181.520004,30855000
2018-04-01,179.960007,197.199997,177.600006,192.509995,192.509995,30999300
2018-05-01,191.750000,211.710007,189.839996,208.089996,208.089996,22874300
2018-06-01,210.000000,214.690002,195.779999,199.330002,199.330002,15687600
2018-06-08,197.639999,200.199997,196.210007,199.330002,199.330002,1523414
