Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,18.219999,19.010000,16.270000,17.870001,17.870001,342809100
2017-07-01,17.940001,20.879999,16.000000,16.090000,16.090000,442239500
2017-08-01,16.200001,17.100000,15.670000,16.910000,16.910000,257159200
2017-09-01,16.969999,18.490000,16.440001,16.870001,16.870001,220791900
2017-10-01,16.799999,21.959999,16.780001,20.620001,20.620001,482599000
2017-11-01,20.740000,22.480000,19.260000,20.580000,20.580000,363917300
2017-12-01,20.520000,25.559999,20.120001,24.010000,24.010000,369977600
2018-01-01,24.070000,26.650000,22.040001,25.809999,25.809999,530571100
2018-02-01,25.520000,35.000000,24.100000,31.860001,31.860001,768393100
2018-03-01,31.950001,36.799999,27.389999,29.010000,29.010000,698505800
2018-04-01,28.370001,33.119999,26.600000,30.309999,30.309999,637652500
2018-05-01,30.209999,34.970001,29.600000,34.700001,34.700001,379642500
2018-06-01,35.139999,41.259998,35.090000,41.209999,41.209999,349855400
2018-06-08,39.490002,41.259998,39.419998,41.209999,41.209999,34538901
