Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,144.990005,168.500000,142.110001,144.559998,144.153778,585673700
2017-07-01,145.050003,169.929993,138.580002,162.509995,162.053329,387275400
2017-08-01,162.130005,174.559998,152.910004,169.440002,168.963852,368047900
2017-09-01,169.949997,191.199997,162.710007,178.770004,178.424591,361183400
2017-10-01,180.800003,207.889999,177.000000,206.809998,206.410400,285566600
2017-11-01,209.350006,218.669998,191.229996,211.610001,211.201141,445137200
2017-12-01,199.309998,200.300003,180.580002,193.500000,193.260300,252805400
2018-01-01,195.779999,249.270004,194.500000,245.800003,245.495514,286352300
2018-02-01,238.520004,251.970001,204.000000,242.000000,241.700226,372888200
2018-03-01,241.910004,254.500000,217.000000,231.589996,231.446869,352961000
2018-04-01,228.740005,239.250000,210.300003,224.899994,224.761002,278600200
2018-05-01,224.570007,260.500000,222.199997,252.190002,252.034134,299194200
2018-06-01,254.000000,266.589996,253.649994,262.279999,262.279999,63721400
2018-06-08,259.959991,264.000000,259.200012,262.279999,262.279999,9011443
