Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,151.750000,156.500000,144.559998,150.979996,150.979996,414677400
2017-07-01,151.720001,175.490005,147.800003,169.250000,169.250000,419907600
2017-08-01,169.820007,173.050003,165.000000,171.970001,171.970001,303622800
2017-09-01,172.399994,174.000000,161.559998,170.869995,170.869995,304818300
2017-10-01,171.389999,180.800003,168.289993,180.059998,180.059998,318146600
2017-11-01,182.360001,184.250000,174.000000,177.179993,177.179993,350998700
2017-12-01,176.029999,182.279999,169.009995,176.460007,176.460007,317095800
2018-01-01,177.679993,190.660004,175.800003,186.889999,186.889999,495312400
2018-02-01,188.220001,195.320007,167.179993,178.320007,178.320007,516621900
2018-03-01,179.009995,186.100006,149.020004,159.789993,159.789993,996201700
2018-04-01,157.809998,177.100006,150.509995,172.000000,172.000000,750072700
2018-05-01,172.000000,192.720001,170.229996,191.779999,191.779999,399993600
2018-06-01,193.070007,195.000000,186.429993,189.100006,189.100006,107884800
2018-06-08,187.529999,189.475403,186.440002,189.100006,189.100006,12677092
