Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,21.320000,21.450001,17.000000,17.770000,17.770000,313193600
2017-07-01,17.910000,17.920000,13.100000,13.670000,13.670000,344478300
2017-08-01,13.770000,15.340000,11.280000,14.510000,14.510000,940242300
2017-09-01,14.500000,15.800000,13.070000,14.540000,14.540000,509333300
2017-10-01,14.600000,16.879999,13.960000,15.340000,15.340000,452203000
2017-11-01,15.450000,15.530000,12.100000,12.560000,12.560000,988499200
2017-12-01,13.670000,16.450001,13.085000,14.610000,14.610000,375870500
2018-01-01,14.690000,15.380000,13.150000,13.520000,13.520000,354196200
2018-02-01,13.430000,21.219999,13.320000,17.320000,17.320000,913533000
2018-03-01,17.500000,18.510000,15.550000,15.870000,15.870000,442586000
2018-04-01,15.670000,15.957000,13.620000,14.330000,14.330000,420559600
2018-05-01,14.340000,14.550000,10.500000,11.390000,11.390000,724508500
2018-06-01,11.710000,13.650000,11.210000,13.080000,13.080000,265584600
2018-06-08,12.560000,13.350000,12.420000,13.080000,13.080000,34598344
